CPR_nr,F_name,Surname,EmployerID,Country_ID,TIN_value,TIN_type,Start_Date,End_Date,TIN_status
1410919226,Brianna,Figueroa,31,BE,39589859638,PTIN,2006-05-16,2015-06-04,Inaktiv
1209624556,Kathleen,Horton,34,BE,67116003048,SSN,2019-02-19,2023-01-24,Inaktiv
1004642693,Connor,Anderson,13,PT,569725217,ITIN,2007-05-03,2020-07-17,Inaktiv
0107780193,Thomas,Hall,41,IN,AQMAT1498V,SSN,2008-10-16,,Aktiv
0407932081,Kristine,Lane,18,GR,324822604,EIN,2024-07-27,2016-01-25,Inaktiv
2208760880,David,Smith,49,DE,21938945890,EIN,2010-03-20,,Aktiv
1901860330,Diamond,Watts,41,IN,JBPLQ5651Q,ATIN,2015-12-20,2018-10-15,Inaktiv
2307618112,Melissa,Henderson,31,BE,11646331504,SSN,2015-08-24,2005-09-03,Inaktiv
1807888740,Michael,Hill,47,UK,LX636887J,ITIN,2020-12-14,,Aktiv
2002877657,Angela,King,21,KR,4352355263628,SSN,2007-05-18,,Aktiv
2304842493,Kristopher,Cooper,41,IN,CYSKG6213N,StateID,2020-06-26,2018-10-25,Inaktiv
0202739970,William,Hartman,45,US,821-71-0853,ITIN,2006-01-05,,Aktiv
1306720800,Eugene,Oconnell,7,AR,01-27961143-5,ATIN,2017-02-26,,Aktiv
1001928613,Christopher,Johnson,5,TR,17833349611,ITIN,2014-07-12,,Aktiv
0604749153,Patrick,Joyce,30,SI,79831928,PTIN,2021-03-23,,Aktiv
0908019097,Christina,Meyer,28,ZA,5275521470,ITIN,2017-03-16,,Aktiv
1612937907,Jennifer,Harper,49,DE,32284120139,ATIN,2022-12-25,2016-01-18,Inaktiv
1612011732,Sonya,Wilkins,15,LT,36333328309,StateID,2022-02-03,,Aktiv
2312858665,Danielle,Gonzales,33,HU,1725783958,ITIN,2023-04-06,,Aktiv
0105979001,James,Sandoval,25,GR,787539531,ITIN,2005-07-08,,Aktiv
2206024048,Linda,Mitchell,39,FI,098839-2053,SSN,2010-02-18,2013-05-03,Inaktiv
1109797732,Diana,Cantrell,42,UK,LM146566H,SSN,2007-05-09,,Aktiv
1703729196,Alexis,Padilla,8,IL,547509357,ATIN,2004-05-02,2015-10-12,Inaktiv
0709990967,Samantha,Dunn,36,IL,371375678,ATIN,2017-08-11,2023-09-07,Inaktiv
2406619399,Jessica,Hansen,14,PL,3707166618,ITIN,2017-02-17,,Aktiv
2406655944,Brandi,Bailey,40,MT,4393769A,PTIN,2014-11-18,,Aktiv
1006665211,Jose,Russell,27,IN,SVHZG1818Q,SSN,2020-07-19,2015-05-14,Inaktiv
1301828909,Nancy,Li,19,TR,74880908599,EIN,2004-08-21,,Aktiv
2501844451,Bailey,Benson,50,EE,58110820007,StateID,2023-10-22,,Aktiv
1510723578,Tammy,Hart,11,CH,9456503377070,ITIN,2010-04-28,,Aktiv
2205896033,Kayla,Todd,1,ZA,3884642366,SSN,2023-06-27,,Aktiv
0209948812,Susan,Ellis,10,SG,S7907141Y,SSN,2007-04-24,2015-07-15,Inaktiv
0603658921,Cynthia,Gamble,47,UK,AS356588Q,SSN,2017-06-10,,Aktiv
2308765337,John,Davis,42,UK,WN518275K,EIN,2017-06-03,,Aktiv
3101918688,Joseph,Valentine,17,IE,3733343O,ATIN,2017-03-20,2007-08-19,Inaktiv
2303601245,James,Wright,12,IS,9521117908,SSN,2010-12-21,,Aktiv
0911753947,Susan,Charles,24,HK,A595794(F),StateID,2005-10-17,2017-06-19,Inaktiv
1104844896,Ian,Duran,48,HK,A846392(d),SSN,2007-09-25,,Aktiv
1901736687,Alicia,Henderson,9,EE,98748434062,EIN,2005-10-25,,Aktiv
2311805722,Sheila,Johnson,29,GR,767660223,ITIN,2011-04-24,,Aktiv
0101983005,Michael,Dalton,22,PT,216674676,StateID,2019-11-08,2015-08-16,Inaktiv
2207668812,Kimberly,Bryant,9,EE,23569499934,ATIN,2019-05-18,,Aktiv
0701713632,David,Holmes,40,MT,5003691U,ATIN,2007-04-05,,Aktiv
0507963385,Michael,Hensley,40,MT,2843479V,SSN,2004-01-20,,Aktiv
0809936484,Michael,Jimenez,31,BE,78377588683,SSN,2023-03-27,,Aktiv
0601823299,Jason,Haynes,29,GR,149362414,SSN,2006-04-15,,Aktiv
2508628053,Nathan,Dickerson,46,JP,846758800926,PTIN,2007-02-25,,Aktiv
1710728502,Joshua,White,43,CY,29314386Y,ITIN,2024-07-08,,Aktiv
1405713206,James,Marsh,28,ZA,6362597344,ITIN,2008-08-09,,Aktiv
2508867415,Joanna,Kennedy,10,SG,S0267288U,PTIN,2014-04-22,,Aktiv
0112781583,Leslie,Tucker,1,ZA,8940731272,ATIN,2013-09-02,,Aktiv
0507973424,John,Garrison,5,TR,77651876724,ITIN,2007-05-26,,Aktiv
2803965579,Brandon,Garcia,18,GR,154063666,PTIN,2005-02-01,,Aktiv
2403033494,Frank,Lewis,26,IL,977357994,EIN,2011-11-27,,Aktiv
0110975965,Jonathan,Combs,29,GR,960347752,PTIN,2016-03-26,2015-07-07,Inaktiv
0206816336,Cole,Garner,32,IL,580035742,ITIN,2020-06-11,,Aktiv
1502825955,Jordan,Ward,7,AR,84-50615939-9,ATIN,2022-08-03,2011-09-23,Inaktiv
2607924806,Debra,Ryan,36,IL,689590340,SSN,2011-06-16,,Aktiv
1803672312,Tiffany,Mitchell,39,FI,587716-9472,PTIN,2010-10-02,,Aktiv
1511682596,Miranda,Davidson,33,HU,3415200001,StateID,2016-03-12,2024-05-05,Inaktiv
0610791931,Sarah,Fisher,22,PT,503758997,StateID,2005-02-23,,Aktiv
1411762644,Cheryl,Sullivan,46,JP,226497663694,SSN,2024-02-03,,Aktiv
1402760870,Rebecca,Miller,22,PT,548851027,EIN,2013-09-11,,Aktiv
2807859150,Matthew,Edwards,17,IE,4496475V,PTIN,2022-11-17,,Aktiv
2404786351,Brenda,Sheppard,8,IL,521869399,EIN,2024-04-21,2023-09-04,Inaktiv
1612911259,Robert,White,46,JP,217415530552,ATIN,2011-06-01,,Aktiv
0111899426,Andrew,Luna,30,SI,98376561,PTIN,2008-12-03,2014-03-23,Inaktiv
0712886994,Ebony,Shepard,34,BE,17456982051,PTIN,2019-04-06,,Aktiv
2409605780,Jackie,Miller,38,GR,618544245,PTIN,2023-09-27,2012-12-27,Inaktiv
1912697572,Garrett,Garcia,45,US,066-61-8986,PTIN,2013-01-28,2006-09-05,Inaktiv
1905817892,Brian,Wise,7,AR,81-14921643-3,ATIN,2020-10-18,2005-04-12,Inaktiv
1601885697,Joan,Ramos,27,IN,BCQWU2282E,PTIN,2011-08-09,,Aktiv
0708035999,Tanner,Pitts,18,GR,527209652,ITIN,2006-04-02,,Aktiv
0810029307,Sarah,Dunn,29,GR,964144020,EIN,2010-08-21,,Aktiv
2211841860,Derek,Fry,39,FI,829979-6884,StateID,2019-11-28,,Aktiv
0101900627,Regina,Olson,45,US,233-12-7240,PTIN,2022-04-11,,Aktiv
2704626241,Kyle,Gutierrez,46,JP,793867349362,EIN,2020-11-03,,Aktiv
1108988085,Eric,Smith,40,MT,8254780S,StateID,2010-06-20,,Aktiv
2211937685,Sandra,Arroyo,46,JP,297389509112,PTIN,2007-01-07,,Aktiv
0612900159,Thomas,Smith,46,JP,933719317209,ITIN,2004-10-06,,Aktiv
0807696781,Russell,Carter,38,GR,712718094,StateID,2012-09-19,,Aktiv
2311903179,Jerry,Smith,44,NO,86628183576,ITIN,2014-11-02,,Aktiv
0202857298,Nathaniel,Jenkins,7,AR,86-63266341-6,SSN,2013-06-07,2017-09-14,Inaktiv
2302731119,Colleen,Black,4,AU,034244204,EIN,2005-07-25,,Aktiv
1206981935,Lauren,Austin,29,GR,210037068,PTIN,2021-07-02,,Aktiv
0904793806,Heather,Nelson,48,HK,A846312(i),StateID,2007-01-05,2009-03-13,Inaktiv
1508016067,Keith,Walsh,16,BR,974.973.502-08,PTIN,2017-05-09,,Aktiv
0909800976,Andrew,Compton,25,GR,516133637,ATIN,2014-01-17,,Aktiv
0412038742,Julian,Martinez,1,ZA,8489005480,EIN,2009-06-20,2010-11-21,Inaktiv
0808620211,Samuel,Smith,15,LT,99814150082,StateID,2009-03-18,,Aktiv
2705668549,Christopher,Smith,29,GR,290509600,StateID,2011-06-26,,Aktiv
1004911305,Jeff,Fisher,12,IS,7570512046,StateID,2004-07-17,2012-02-24,Inaktiv
2712851097,Charles,Harrison,25,GR,143630672,ATIN,2016-06-11,2022-02-26,Inaktiv
0811637352,James,Skinner,11,CH,1099879533841,ITIN,2004-09-17,,Aktiv
3101986220,Lisa,Clayton,3,SE,125994079,EIN,2012-12-03,2007-09-10,Inaktiv
2910603016,Paul,Proctor,39,FI,303718-3764,SSN,2021-03-12,,Aktiv
2401612621,Sharon,Moore,37,MT,0881474M,PTIN,2019-04-22,,Aktiv
3009707300,Michael,Williams,46,JP,676890811692,EIN,2014-03-21,2006-12-26,Inaktiv
3005676982,Elizabeth,Mcpherson,34,BE,33644397769,ATIN,2024-06-27,,Aktiv
0607034737,Joel,Hamilton,23,AU,335554398,ATIN,2009-07-19,,Aktiv
0204685955,Alexis,Bauer,43,CY,91630097S,ITIN,2022-10-13,2017-03-05,Inaktiv
0504980647,Caitlyn,Watson,42,UK,VW132719O,PTIN,2014-10-10,,Aktiv
0806966781,Brian,Kelly,21,KR,7786535265438,ITIN,2007-07-28,,Aktiv
2405921251,Eric,Herrera,34,BE,80329909269,PTIN,2009-09-21,,Aktiv
0812827563,Daniel,Freeman,3,SE,325725691,ITIN,2014-07-27,2009-05-24,Inaktiv
1910713544,Linda,Gonzales,33,HU,1412129737,PTIN,2004-01-08,,Aktiv
2504947930,James,Norris,41,IN,FTCJS5240I,SSN,2024-03-05,,Aktiv
0311918285,Heidi,Lopez,7,AR,28-55749821-8,EIN,2012-05-06,,Aktiv
2708049979,Eric,Phillips,42,UK,YU485708L,SSN,2023-02-27,2024-12-27,Inaktiv
2809760117,Nicole,Harvey,30,SI,54522084,SSN,2009-07-18,,Aktiv
2904793342,Michael,Oliver,4,AU,248193466,ATIN,2007-10-25,2016-12-04,Inaktiv
1304781484,Malik,Brown,28,ZA,2358945892,ATIN,2005-10-20,,Aktiv
1501722594,Tammy,Fuentes,35,NL,106333920B01,StateID,2010-10-03,2008-12-21,Inaktiv
1410655357,James,Vega,5,TR,25044570160,ITIN,2007-04-11,2021-05-27,Inaktiv
2203944992,Katie,Moore,49,DE,74109649171,ATIN,2012-06-17,2005-01-12,Inaktiv
2201649895,Justin,Ortiz,31,BE,83685848236,EIN,2024-09-05,2016-07-07,Inaktiv
2007808947,Marc,Davis,41,IN,CMGFM1022G,EIN,2024-10-13,2023-02-15,Inaktiv
0602006834,Anthony,May,1,ZA,3384006407,SSN,2006-04-19,2014-04-09,Inaktiv
2602059877,Paul,Burns,37,MT,9940539T,PTIN,2019-06-10,2017-08-05,Inaktiv
2404690127,Chad,Conrad,14,PL,2476831585,ATIN,2009-07-23,,Aktiv
0305772809,Jason,Henry,12,IS,1705865094,EIN,2017-01-23,,Aktiv
0310666926,Allison,Navarro,8,IL,294731649,StateID,2007-07-25,,Aktiv
0207057406,Mary,Miller,49,DE,87284986059,ATIN,2008-03-13,2017-05-26,Inaktiv
3005993716,Jason,Stone,43,CY,13863383K,SSN,2023-12-10,,Aktiv
2408933805,Colleen,White,13,PT,975523149,SSN,2020-07-04,,Aktiv
2909830695,Kara,Perry,21,KR,8926301419231,ITIN,2007-04-05,,Aktiv
2303853211,Daniel,Fowler,37,MT,5761228Z,PTIN,2009-05-10,,Aktiv
2610653965,William,Sandoval,1,ZA,2345247256,EIN,2022-10-26,,Aktiv
0201752636,Amanda,Greene,18,GR,485995156,EIN,2021-03-16,2024-02-14,Inaktiv
0209696813,Sarah,Orr,29,GR,485195859,ITIN,2011-10-01,2005-11-20,Inaktiv
1101664808,Andrea,Shea,42,UK,KI566593N,PTIN,2019-08-12,,Aktiv
2312750740,Nicholas,Pierce,35,NL,310917183B01,ITIN,2014-06-27,,Aktiv
1511879283,Julie,Ward,47,UK,MB776004H,SSN,2008-04-03,2014-06-28,Inaktiv
1112667825,Derek,Zamora,33,HU,3712815143,PTIN,2011-01-24,2005-09-12,Inaktiv
2611856707,Adam,Joyce,50,EE,38303990452,SSN,2014-09-12,,Aktiv
1604709680,Jason,Edwards,35,NL,679473892B01,ATIN,2007-12-05,,Aktiv
1610623679,Niels,Petersen,15,UK,LS626636U,Auto,2019-04-04,,Aktiv
1004981971,Kim,Larsen,37,HU,6730369061,Auto,2023-10-16,2016-12-13,Inaktiv
1506640001,Michael,Laudrup,51,ES,308890170,EIN,1989-01-01,1994-01-01,Inaktiv
